sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,additional_images,additional_image_labels,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,is_in_stock,notify_on_stock_below,manage_stock,qty_increments,enable_qty_increments,crosssell_skus,upsell_skus,hide_from_product_page,configurable_variations,configurable_variation_labels,errors
U8701,,Default,simple,"Shop/Shop by Giftable/Girl",base,"Mini Notebook/ Pen Box Set- Goals","Gift for the Girl Boss in your life!",Goals,1,1,None,"Catalog, Search",1.44,mini-notebook-goals,"Mini Notebook/ Pen Box Set- Goals","Girl, Career, gift, notebook","Gift for the Girl Boss in your life!",Goals.png,,Goals.png,,,,,,"United States",,25,0,1,1,1,2,1,,,0,,,
U8416,,Default,simple,"Shop/Shop by Giftable/Bride",base,"Vino before Vows","Perfect for the soon-to-be bride!",,1,1,None,"Catalog, Search",4,vino-before-vows,"Vino before vows","Bride, gift, wine","Perfect for the soon-to-be bride!",vino.png,,vino.png,,assortment.png,,,,"United States",,25,0,1,1,1,4,1,,,0,,,
U8703,,Default,simple,"Shop/Shop by Giftable/Girl|Shop/Shop by Giftable/Home",base,"Mini Notebook/ Pen Box Set- Killing It","Get it for the on-the-go career woman!","Girl You're Totally Killing It",1,1,None,"Catalog, Search",1.44,mini-notebook-killing-it,"Mini Notebook/ Pen Box Set- Killing It","Girl, Career, gift, notebook","Get it for the on-the-go career woman!",Killing_it.png,,Killing_it.png,,,,,,"United States",,25,0,1,1,1,2,1,,,0,,,
U8764,,Default,simple,"Shop/Shop by Giftable/Gym",base,"Canvas Gym Bag- Cardio is Hardio","We all hate cardio- but make your work out fun with this cute bag!",,1,1,None,"Catalog, Search",2.75,canvas-gym-bag-cardio-is-hardio,"Canvas Gym Bag- Cardio is Hardio","Gym, Girl, Fun, Bag","We all hate cardio- but make your work out fun with this cute bag!",cardio.png,,cardio.png,,group.png,,,,"United States",,25,0,1,1,1,3,1,,,0,,,
U848-4,,Default,simple,"Shop/Shop by Giftable/Home",base,"Tea Towel- A","Allison, Aimee, Addison, will all love this tea towel!","Initial: A",1,1,None,"Not Visible Individually",8,tea-towel-A,"Tea Towel A","Kitchen, Girl, Home, Initial","Allison, Aimee, Addison, will all love this tea towel!",A.png,,A.png,,A.png,,,,"United States",initial=A,25,0,1,1,1,4,1,,,0,,,
U848-5,,Default,simple,"Shop/Shop by Giftable/Home",base,"Tea Towel- B","Beth, Betty, Belle, will all love this tea towel!","Initial: B",1,1,None,"Not Visible Individually",8,tea-towel-B,"Tea Towel- B","Kitchen, Girl, Home, Initial","Beth, Betty, Belle, will all love this tea towel!",B.png,,B.png,,B.png,,,,"United States",initial=B,25,0,1,1,1,4,1,,,0,,,
U848-6,,Default,simple,"Shop/Shop by Giftable/Home",base,"Tea Towel- C","Cait, Carrie, Cynthia will all love this tea towel!","Initial: C",1,1,None,"Not Visible Individually",8,tea-towel-C,"Tea Towel- C","Kitchen, Girl, Home, Initial","Cait, Carrie, Cynthia will all love this tea towel!",C.png,,C.png,,C.png,,,,"United States",initial=C,25,0,1,1,1,4,1,,,0,,,
U848-7,,Default,simple,"Shop/Shop by Giftable/Home",base,"Tea Towel- D","Delilah, Deidre, Daphne, will all love this tea towel!","Initial: D",1,1,None,"Not Visible Individually",8,tea-towel-D,"Tea Towel- D","Kitchen, Girl, Home, Initial","Delilah, Deidre, Daphne, will all love this tea towel!",D.png,,D.png,,D.png,,,,"United States",initial=D,25,0,1,1,1,4,1,,,0,,,
U848-8,,Default,simple,"Shop/Shop by Giftable/Home",base,"Tea Towel- E","Emily, Ellie, Elizabeth, will all love this tea towel!","Initial: D",1,1,None,"Not Visible Individually",8,tea-towel-E,"Tea Towel- E","Kitchen, Girl, Home, Initial","Emily, Ellie, Elizabeth, will all love this tea towel!",H.png,,H.png,,H.png,,,,"United States",initial=E,25,0,1,1,1,4,1,,,0,,,
U848,,Default,configurable,"Shop/Shop by Giftable/Home",base,"Tea Towel Initials","We have something for everyone!",,1,1,None,"Catalog, Search",8,tea-towel-initial,"Tea Towel Initial","Kitchen, Girl, Home, Initial","We have something for everyone!",all.png,,all.png,,,,,,"United States",,0,0,1,1,1,4,1,,,0," sku=U848-4,initial=A|sku=U848-5,initial=B|sku=U848-6,initial=C|sku=U848-7,initial=D|sku=U848-8,initial=E",,"Attribute with this code is not super"
